날짜,종가,전일비,시가,고가,저가,거래량,등락
2021.04.02,38100.0,535.0,38170.0,38420.0,38015.0,327186.0,1.0
2021.04.01,37565.0,1265.0,36905.0,37565.0,36795.0,283797.0,1.0
2021.03.31,36300.0,180.0,36500.0,36620.0,36200.0,89464.0,0.0
2021.03.30,36480.0,320.0,36175.0,36580.0,36135.0,78048.0,1.0
2021.03.29,36160.0,390.0,36695.0,36720.0,36155.0,107376.0,0.0
2021.03.26,36550.0,45.0,36685.0,36755.0,36215.0,87449.0,1.0
2021.03.25,36505.0,260.0,36500.0,36700.0,36245.0,103856.0,0.0
2021.03.24,36765.0,415.0,35980.0,36795.0,35810.0,142092.0,1.0
2021.03.23,36350.0,590.0,37100.0,37230.0,36255.0,121538.0,0.0
2021.03.22,36940.0,255.0,36820.0,36990.0,36500.0,107069.0,1.0
2021.03.19,36685.0,185.0,36180.0,36830.0,36050.0,114137.0,0.0
2021.03.18,36870.0,325.0,36985.0,37235.0,36795.0,179959.0,1.0
2021.03.17,36545.0,110.0,36515.0,36550.0,36110.0,96424.0,1.0
2021.03.16,36435.0,1230.0,35645.0,36460.0,35530.0,232162.0,1.0
2021.03.15,35205.0,275.0,35480.0,35545.0,35105.0,125586.0,0.0
2021.03.12,35480.0,775.0,35295.0,35565.0,35225.0,166591.0,1.0
2021.03.11,34705.0,905.0,33960.0,34880.0,33960.0,148210.0,1.0
2021.03.10,33800.0,505.0,35120.0,35275.0,33715.0,174895.0,0.0
2021.03.09,34305.0,345.0,34435.0,34510.0,33335.0,363059.0,0.0
2021.03.08,34650.0,930.0,35930.0,35980.0,34650.0,173643.0,0.0
2021.03.05,35580.0,305.0,35090.0,35650.0,34750.0,207288.0,0.0
2021.03.04,35885.0,745.0,36115.0,36290.0,35550.0,203984.0,0.0
2021.03.03,36630.0,350.0,36000.0,36630.0,35900.0,253394.0,1.0
2021.03.02,36280.0,485.0,37020.0,37320.0,35805.0,445317.0,1.0
2021.02.26,35795.0,1085.0,35655.0,35885.0,35260.0,363381.0,0.0
2021.02.25,36880.0,1615.0,36215.0,36940.0,36005.0,263608.0,1.0
2021.02.24,35265.0,1015.0,36280.0,36870.0,35220.0,260147.0,0.0
2021.02.23,36280.0,370.0,36005.0,36570.0,35695.0,222350.0,0.0
2021.02.22,36650.0,430.0,37450.0,37595.0,36650.0,362519.0,0.0
2021.02.19,37080.0,550.0,36525.0,37095.0,36040.0,238855.0,1.0
2021.02.18,36530.0,970.0,37420.0,37420.0,36400.0,355151.0,0.0
2021.02.17,37500.0,205.0,37810.0,37810.0,37100.0,366483.0,0.0
2021.02.16,37705.0,365.0,37820.0,38080.0,37500.0,511054.0,1.0
2021.02.15,37340.0,1770.0,36290.0,37405.0,36150.0,443555.0,1.0
2021.02.10,35570.0,140.0,35420.0,35600.0,35010.0,181802.0,1.0
2021.02.09,35430.0,55.0,35780.0,36170.0,35430.0,165137.0,1.0
2021.02.08,35375.0,210.0,35530.0,35600.0,35125.0,113892.0,0.0
2021.02.05,35585.0,75.0,35580.0,35780.0,35265.0,122917.0,1.0
2021.02.04,35510.0,555.0,36000.0,36000.0,35150.0,243219.0,0.0
2021.02.03,36065.0,95.0,36200.0,36250.0,35660.0,293994.0,1.0
