날짜,종가,전일비,시가,고가,저가,거래량,등락
2021.04.02,14410.0,25.0,14410.0,14440.0,14360.0,20615.0,1.0
2021.04.01,14385.0,5.0,14380.0,14440.0,14260.0,12877.0,0.0
2021.03.31,14390.0,10.0,14390.0,14475.0,14340.0,24562.0,1.0
2021.03.30,14380.0,80.0,14435.0,14480.0,14380.0,15315.0,0.0
2021.03.29,14460.0,40.0,14535.0,14560.0,14375.0,16673.0,0.0
2021.03.26,14500.0,50.0,14460.0,14530.0,14420.0,19475.0,1.0
2021.03.25,14450.0,185.0,14570.0,14615.0,14370.0,27752.0,0.0
2021.03.24,14635.0,75.0,14495.0,14680.0,14485.0,24000.0,1.0
2021.03.23,14560.0,95.0,14730.0,14885.0,14525.0,22483.0,0.0
2021.03.22,14655.0,90.0,14795.0,14800.0,14620.0,17495.0,0.0
2021.03.19,14745.0,100.0,14480.0,14775.0,14480.0,31333.0,1.0
2021.03.18,14645.0,345.0,14855.0,14910.0,14645.0,47897.0,0.0
2021.03.17,14990.0,325.0,14750.0,15015.0,14630.0,47113.0,1.0
2021.03.16,14665.0,470.0,14250.0,14665.0,14250.0,32570.0,1.0
2021.03.15,14195.0,60.0,14220.0,14295.0,14140.0,22098.0,0.0
2021.03.12,14255.0,300.0,14020.0,14275.0,14020.0,31597.0,1.0
2021.03.11,13955.0,215.0,13720.0,13955.0,13690.0,16645.0,1.0
2021.03.10,13740.0,55.0,13910.0,14045.0,13730.0,21811.0,0.0
2021.03.09,13795.0,155.0,13900.0,14030.0,13555.0,37888.0,0.0
2021.03.08,13950.0,520.0,14545.0,14555.0,13915.0,36648.0,0.0
2021.03.05,14470.0,100.0,14315.0,14495.0,14280.0,20778.0,0.0
2021.03.04,14570.0,280.0,14570.0,14620.0,14380.0,26872.0,0.0
2021.03.03,14850.0,15.0,14810.0,15000.0,14800.0,39634.0,0.0
2021.03.02,14865.0,250.0,14805.0,15100.0,14735.0,53856.0,1.0
2021.02.26,14615.0,235.0,14415.0,14720.0,14355.0,30375.0,0.0
2021.02.25,14850.0,615.0,14460.0,14875.0,14410.0,41936.0,1.0
2021.02.24,14235.0,280.0,14480.0,14820.0,14235.0,49422.0,0.0
2021.02.23,14515.0,345.0,14705.0,14745.0,14510.0,38495.0,0.0
2021.02.22,14860.0,95.0,15060.0,15170.0,14850.0,25939.0,0.0
2021.02.19,14955.0,20.0,14915.0,14975.0,14515.0,45801.0,0.0
2021.02.18,14975.0,200.0,15110.0,15245.0,14970.0,49051.0,0.0
2021.02.17,15175.0,180.0,15360.0,15370.0,15110.0,37811.0,0.0
2021.02.16,15355.0,425.0,15785.0,15810.0,15290.0,81819.0,0.0
2021.02.15,15780.0,35.0,15785.0,15830.0,15635.0,38610.0,1.0
2021.02.10,15745.0,110.0,15585.0,15750.0,15500.0,31560.0,1.0
2021.02.09,15635.0,35.0,15645.0,15720.0,15600.0,39035.0,0.0
2021.02.08,15670.0,400.0,16030.0,16070.0,15650.0,58769.0,0.0
2021.02.05,16070.0,65.0,16005.0,16140.0,15895.0,33555.0,1.0
2021.02.04,16005.0,315.0,16240.0,16265.0,15920.0,45347.0,0.0
2021.02.03,16320.0,100.0,16385.0,16385.0,16060.0,67209.0,0.0
2021.02.02,16420.0,190.0,16300.0,16420.0,16050.0,53855.0,1.0
2021.02.01,16230.0,450.0,15860.0,16285.0,15800.0,48204.0,1.0
2021.01.29,15780.0,510.0,16470.0,16550.0,15695.0,50048.0,0.0
2021.01.28,16290.0,340.0,16180.0,16400.0,16170.0,53408.0,0.0
2021.01.27,16630.0,185.0,16815.0,16890.0,16540.0,38925.0,0.0
2021.01.26,16815.0,365.0,17225.0,17230.0,16780.0,75014.0,0.0
2021.01.25,17180.0,655.0,16580.0,17190.0,16580.0,130410.0,1.0
2021.01.22,16525.0,80.0,16445.0,16615.0,16150.0,59289.0,1.0
2021.01.21,16445.0,320.0,16765.0,16880.0,16400.0,74243.0,0.0
2021.01.20,16765.0,220.0,16525.0,16875.0,15700.0,141773.0,1.0
2021.01.19,16545.0,395.0,16470.0,16690.0,16050.0,123472.0,1.0
2021.01.18,16150.0,520.0,16570.0,16765.0,16150.0,58510.0,0.0
2021.01.15,16670.0,145.0,16875.0,16930.0,16520.0,70226.0,0.0
2021.01.14,16815.0,230.0,16675.0,16900.0,16595.0,85122.0,1.0
2021.01.13,16585.0,15.0,16630.0,16700.0,16470.0,65177.0,1.0
2021.01.12,16570.0,115.0,16635.0,16850.0,16285.0,113536.0,0.0
2021.01.11,16685.0,455.0,17060.0,17120.0,16240.0,210227.0,0.0
2021.01.08,17140.0,375.0,17535.0,17565.0,17005.0,169021.0,0.0
2021.01.07,17515.0,250.0,17715.0,17770.0,16000.0,156433.0,0.0
2021.01.06,17765.0,210.0,17620.0,18015.0,17555.0,128903.0,1.0
2021.01.05,17555.0,55.0,17450.0,17555.0,16980.0,113861.0,1.0
2021.01.04,17500.0,420.0,17180.0,17500.0,16890.0,143487.0,1.0
2020.12.30,17080.0,245.0,16950.0,17295.0,16805.0,141316.0,1.0
2020.12.29,16835.0,905.0,16275.0,16835.0,16270.0,142876.0,1.0
2020.12.28,15930.0,195.0,16125.0,16215.0,15830.0,102192.0,0.0
2020.12.24,16125.0,0.0,16130.0,16275.0,15800.0,100476.0,0.0
2020.12.23,16125.0,970.0,17145.0,17240.0,16125.0,159394.0,0.0
2020.12.22,17095.0,470.0,17780.0,17925.0,17040.0,173227.0,0.0
2020.12.21,17565.0,745.0,17065.0,17640.0,16945.0,177919.0,1.0
2020.12.18,16820.0,465.0,16490.0,16925.0,16440.0,134890.0,1.0
2020.12.17,16355.0,85.0,16270.0,16390.0,16190.0,36619.0,1.0
2020.12.16,16270.0,45.0,16340.0,16365.0,16270.0,47220.0,0.0
2020.12.15,16315.0,180.0,16455.0,16475.0,16110.0,67562.0,0.0
