날짜,종가,전일비,시가,고가,저가,거래량,등락
2021.04.02,21755.0,245.0,21710.0,21840.0,21685.0,13629.0,1.0
2021.04.01,21510.0,445.0,21355.0,21510.0,21300.0,21122.0,1.0
2021.03.31,21065.0,205.0,21280.0,21360.0,21025.0,27438.0,0.0
2021.03.30,21270.0,370.0,21000.0,21285.0,20910.0,8977.0,1.0
2021.03.29,20900.0,40.0,21060.0,21060.0,20780.0,7727.0,0.0
2021.03.26,20940.0,125.0,20855.0,20940.0,20695.0,8422.0,1.0
2021.03.25,20815.0,0.0,20795.0,20920.0,20700.0,4815.0,0.0
2021.03.24,20815.0,20.0,20540.0,20900.0,20540.0,9199.0,1.0
2021.03.23,20795.0,315.0,21265.0,21350.0,20780.0,10208.0,0.0
2021.03.22,21110.0,215.0,21255.0,21255.0,21050.0,12545.0,0.0
2021.03.19,21325.0,120.0,21105.0,21335.0,21050.0,14939.0,0.0
2021.03.18,21445.0,180.0,21525.0,21710.0,21400.0,29031.0,1.0
2021.03.17,21265.0,270.0,21540.0,21575.0,21075.0,14605.0,0.0
2021.03.16,21535.0,270.0,21500.0,21595.0,21330.0,33055.0,1.0
2021.03.15,21265.0,165.0,21450.0,21655.0,21240.0,13542.0,0.0
2021.03.12,21430.0,240.0,21560.0,21640.0,21360.0,21193.0,1.0
2021.03.11,21190.0,730.0,20560.0,21230.0,20560.0,29362.0,1.0
2021.03.10,20460.0,230.0,21265.0,21265.0,20445.0,23027.0,0.0
2021.03.09,20690.0,190.0,20680.0,20855.0,20120.0,47400.0,0.0
2021.03.08,20880.0,475.0,21565.0,21565.0,20850.0,18144.0,0.0
2021.03.05,21355.0,165.0,20950.0,21455.0,20905.0,37930.0,0.0
2021.03.04,21520.0,450.0,21645.0,21780.0,21345.0,20620.0,0.0
2021.03.03,21970.0,140.0,21725.0,21970.0,21565.0,9529.0,1.0
2021.03.02,21830.0,350.0,22135.0,22350.0,21500.0,61788.0,1.0
2021.02.26,21480.0,770.0,21610.0,21665.0,21215.0,118417.0,0.0
2021.02.25,22250.0,980.0,21805.0,22275.0,21710.0,32525.0,1.0
2021.02.24,21270.0,545.0,21800.0,22155.0,21270.0,32823.0,0.0
2021.02.23,21815.0,245.0,21675.0,22090.0,21500.0,65393.0,0.0
2021.02.22,22060.0,295.0,22555.0,22580.0,22055.0,38227.0,0.0
2021.02.19,22355.0,185.0,22165.0,22400.0,21860.0,46560.0,1.0
2021.02.18,22170.0,345.0,22560.0,22560.0,22105.0,41605.0,0.0
2021.02.17,22515.0,180.0,22695.0,22695.0,22395.0,54910.0,0.0
2021.02.16,22695.0,15.0,22800.0,22925.0,22600.0,61732.0,1.0
2021.02.15,22680.0,675.0,22500.0,22720.0,22340.0,81299.0,1.0
2021.02.10,22005.0,50.0,21955.0,22045.0,21700.0,36895.0,1.0
2021.02.09,21955.0,90.0,22070.0,22300.0,21880.0,48389.0,1.0
2021.02.08,21865.0,280.0,22145.0,22200.0,21865.0,18456.0,0.0
2021.02.05,22145.0,295.0,21990.0,22150.0,21730.0,34988.0,1.0
2021.02.04,21850.0,440.0,22155.0,22155.0,21690.0,64720.0,0.0
2021.02.03,22290.0,270.0,22335.0,22335.0,22000.0,33476.0,1.0
2021.02.02,22020.0,360.0,22180.0,22390.0,21850.0,30423.0,1.0
2021.02.01,21660.0,255.0,21180.0,21740.0,20895.0,39720.0,1.0
2021.01.29,21405.0,640.0,22285.0,22290.0,21200.0,56585.0,0.0
2021.01.28,22045.0,575.0,21865.0,22400.0,21785.0,93382.0,0.0
2021.01.27,22620.0,165.0,22895.0,23105.0,22525.0,63781.0,0.0
2021.01.26,22785.0,325.0,23105.0,23115.0,22640.0,47109.0,0.0
2021.01.25,23110.0,275.0,22815.0,23120.0,22600.0,307645.0,1.0
2021.01.22,22835.0,350.0,22730.0,22835.0,22450.0,317693.0,1.0
2021.01.21,22485.0,120.0,22585.0,22585.0,22310.0,29076.0,1.0
2021.01.20,22365.0,290.0,22550.0,22550.0,22045.0,63423.0,1.0
2021.01.19,22075.0,575.0,21535.0,22150.0,21425.0,38126.0,1.0
2021.01.18,21500.0,470.0,21525.0,21865.0,21370.0,50174.0,0.0
2021.01.15,21970.0,335.0,22560.0,22745.0,21970.0,79594.0,0.0
2021.01.14,22305.0,5.0,22325.0,22470.0,22200.0,43017.0,1.0
2021.01.13,22300.0,275.0,22025.0,22500.0,22025.0,59929.0,1.0
2021.01.12,22025.0,170.0,21975.0,22260.0,21350.0,94983.0,0.0
2021.01.11,22195.0,140.0,22625.0,23170.0,21700.0,170913.0,0.0
2021.01.08,22335.0,950.0,21525.0,22340.0,21445.0,123115.0,1.0
2021.01.07,21385.0,470.0,21150.0,21610.0,21040.0,60421.0,1.0
2021.01.06,20915.0,180.0,21345.0,21540.0,20825.0,109909.0,0.0
2021.01.05,21095.0,290.0,20650.0,21125.0,20455.0,132780.0,1.0
2021.01.04,20805.0,880.0,20380.0,20875.0,20155.0,152199.0,1.0
2020.12.30,19925.0,530.0,19470.0,19995.0,19340.0,100053.0,1.0
2020.12.29,19395.0,600.0,19130.0,19395.0,19015.0,80160.0,1.0
2020.12.28,18795.0,25.0,18900.0,19040.0,18745.0,40508.0,0.0
2020.12.24,18820.0,385.0,18475.0,18975.0,18475.0,109504.0,1.0
